,num_observations,rel_error,seed,signal_dimension,sparsity
567,85,0.2130861078565228,0,100,17
568,92,0.1971010522400625,0,100,17
569,100,0.19638795439112008,0,100,17
570,10,1.1252391531622412,0,100,20
571,10,1.1252391531622412,0,100,20
572,11,1.0872377686115358,0,100,20
573,12,1.107209483753587,0,100,20
574,13,1.0610955059467397,0,100,20
575,14,1.129912590803683,0,100,20
576,16,0.9435600249228733,0,100,20
577,17,0.940581474872821,0,100,20
578,18,0.9534961267866627,0,100,20
579,20,0.9500757733451568,0,100,20
580,22,0.980225960011067,0,100,20
581,23,0.9101098284295852,0,100,20
582,25,0.902864067596294,0,100,20
583,28,0.8760304687674731,0,100,20
584,30,0.8642013961885779,0,100,20
585,32,0.8667042245436283,0,100,20
586,35,0.6451622487687103,0,100,20
587,38,0.6249982346299625,0,100,20
588,41,0.6020769641162638,0,100,20
589,45,0.6437810902032566,0,100,20
590,48,0.573945522803365,0,100,20
591,52,0.5653240606654105,0,100,20
592,57,0.5503895730491218,0,100,20
593,62,0.4082883609632553,0,100,20
594,67,0.40134651432939106,0,100,20
595,72,0.3069997770760578,0,100,20
596,78,0.31807694033628964,0,100,20
597,85,0.3201809204653017,0,100,20
598,92,0.29164094360355697,0,100,20
599,100,0.2785997390046014,0,100,20
600,10,1.0919879530069707,0,100,23
601,10,1.0919879530069707,0,100,23
602,11,1.0980849553209076,0,100,23
603,12,1.1031354233070227,0,100,23
604,13,1.1665502748959493,0,100,23
605,14,1.195111570355316,0,100,23
606,16,0.9470003999042533,0,100,23
607,17,0.9727320863492718,0,100,23
608,18,0.9838055306535677,0,100,23
609,20,0.9483454893606267,0,100,23
610,22,0.932195033915985,0,100,23
611,23,0.9354345134569442,0,100,23
612,25,0.9241010183272037,0,100,23
613,28,0.9140944721762703,0,100,23
614,30,0.9119592720195621,0,100,23
615,32,0.9122529981858333,0,100,23
616,35,0.8502644236584389,0,100,23
617,38,0.7454743110338642,0,100,23
618,41,0.7599970118913754,0,100,23
619,45,0.7748982564105562,0,100,23
620,48,0.6887389708784895,0,100,23
621,52,0.7015777531502657,0,100,23
622,57,0.6603340110795789,0,100,23
623,62,0.6347274983728173,0,100,23
624,67,0.5749372971252152,0,100,23
625,72,0.40137029422555603,0,100,23
626,78,0.3901064757965168,0,100,23
627,85,0.3836036784950819,0,100,23
628,92,0.3214426754407163,0,100,23
629,100,0.30688143197054835,0,100,23
630,10,1.1538795948813245,0,100,28
631,10,1.1538795948813245,0,100,28
632,11,1.139488780956324,0,100,28
633,12,1.0554082167115482,0,100,28
634,13,1.2253077907821324,0,100,28
635,14,1.084164127282101,0,100,28
636,16,1.0614127118525982,0,100,28
637,17,1.0594695051879457,0,100,28
638,18,0.9772679745459644,0,100,28
639,20,0.9683718538007526,0,100,28
640,22,0.9794854969365497,0,100,28
641,23,0.9012365496333133,0,100,28
642,25,0.92136241371723,0,100,28
643,28,0.9373556384082481,0,100,28
644,30,0.9131932036328154,0,100,28
645,32,0.9486690092819249,0,100,28
646,35,0.8389312284114713,0,100,28
647,38,0.802825824450233,0,100,28
648,41,0.6989638340415539,0,100,28
649,45,0.6956322663496776,0,100,28
650,48,0.6499044143889183,0,100,28
651,52,0.6792040761548376,0,100,28
652,57,0.6321260492995195,0,100,28
653,62,0.6385634369443982,0,100,28
654,67,0.6006126108074851,0,100,28
655,72,0.5100182396622593,0,100,28
656,78,0.45906543499331265,0,100,28
657,85,0.4200310990158462,0,100,28
658,92,0.4047448540431765,0,100,28
659,100,0.40212549768282335,0,100,28
660,10,1.1143678194038238,0,100,32
661,10,1.1143678194038238,0,100,32
662,11,1.0919446627451665,0,100,32
663,12,1.0969565805306623,0,100,32
664,13,1.1788874101050537,0,100,32
665,14,1.1173201197620504,0,100,32
666,16,1.054653957738925,0,100,32
667,17,1.0724246949150604,0,100,32
668,18,1.0542305942792265,0,100,32
669,20,0.9656497718743153,0,100,32
670,22,0.9676823051392117,0,100,32
671,23,0.9764545173446899,0,100,32
672,25,0.9368136762092818,0,100,32
673,28,0.9749546335216914,0,100,32
674,30,0.9646779124047731,0,100,32
675,32,0.9876691613350398,0,100,32
676,35,0.8119964799594396,0,100,32
677,38,0.8057641552801383,0,100,32
678,41,0.8035040164856889,0,100,32
679,45,0.7745069028104786,0,100,32
